,temperature,wind_mph,humid,score_dif
911,33,7.0,73,10
912,27,22.0,60,34
913,66,12.0,80,9
914,62,14.0,92,12
915,63,10.0,64,7
916,54,6.0,74,17
917,56,8.0,73,3
918,61,14.0,53,7
919,77,7.0,75,21
920,58,13.0,59,1
921,78,12.0,74,6
922,63,4.0,67,3
923,53,11.0,83,4
924,54,11.0,59,7
925,64,11.0,70,14
926,55,12.0,65,24
927,53,7.0,65,38
928,74,7.0,71,4
929,66,10.0,83,10
930,69,11.0,37,19
931,55,10.0,71,13
932,61,11.0,35,0
933,57,12.0,61,31
934,57,10.0,72,7
935,66,11.0,72,12
936,68,12.0,73,7
937,55,14.0,58,4
938,67,9.0,81,3
939,61,6.0,82,16
940,70,4.0,73,7
941,61,8.0,37,6
942,56,12.0,78,11
943,80,15.0,74,10
944,56,12.0,73,31
945,66,6.0,74,4
946,42,14.0,59,11
947,54,4.0,54,6
948,55,9.0,74,17
949,48,9.0,67,6
950,57,9.0,57,14
951,71,12.0,68,20
952,69,10.0,62,35
953,61,12.0,62,13
954,44,14.0,70,18
955,48,5.0,49,3
956,47,7.0,58,3
957,51,10.0,62,2
958,46,6.0,63,7
959,46,10.0,73,0
960,40,15.0,79,14
961,56,16.0,74,22
962,40,12.0,88,17
963,52,12.0,87,32
964,45,10.0,82,9
965,56,11.0,84,4
966,61,6.0,89,32
967,61,10.0,84,24
968,56,14.0,82,3
969,61,11.0,67,12
970,46,12.0,91,0
971,61,9.0,63,11
972,63,6.0,66,16
973,45,7.0,86,31
974,51,12.0,77,8
975,48,4.0,72,25
976,44,8.0,87,6
977,46,8.0,69,48
978,28,12.0,71,21
979,34,16.0,48,1
980,34,12.0,49,6
981,28,11.0,71,2
982,33,14.0,64,20
983,33,8.0,58,13
984,57,14.0,76,3
985,39,5.0,48,17
986,59,7.0,59,1
987,55,13.0,58,4
988,44,10.0,64,11
989,42,7.0,74,3
990,31,9.0,67,6
991,62,8.0,75,5
992,32,7.0,85,38
993,40,8.0,64,7
994,52,15.0,79,0
995,36,12.0,75,27
996,37,13.0,54,37
997,35,11.0,60,11
998,39,11.0,50,7
999,34,11.0,61,4
1000,32,17.0,60,10
1001,50,9.0,52,9
1002,54,11.0,81,21
1003,34,12.0,62,3
1004,32,10.0,57,5
1005,57,9.0,73,7
1006,34,9.0,57,0
1007,34,10.0,46,43
1008,44,16.0,84,28
1009,35,16.0,62,13
1010,56,12.0,71,17
1011,39,15.0,71,6
1012,35,12.0,75,4
1013,22,14.0,86,3
1014,35,10.0,72,3
1015,32,8.0,79,24
1016,34,15.0,72,18
1017,33,13.0,84,28
1018,62,21.0,82,1
1019,61,9.0,88,6
1020,17,14.0,80,17
1021,64,14.0,78,3
1022,36,10.0,63,7
1023,54,15.0,79,10
1024,30,13.0,51,13
1025,24,9.0,81,17
1026,10,7.0,83,3
1027,51,14.0,95,24
1028,8,9.0,75,20
1029,55,14.0,84,16
1030,63,10.0,84,21
1031,71,13.0,70,8
1032,82,8.0,81,11
1033,66,12.0,75,40
1034,63,7.0,72,15
1035,59,21.0,74,9
1036,67,7.0,73,10
1037,70,12.0,78,17
1038,66,8.0,70,2
1039,65,8.0,68,12
1040,74,10.0,58,10
1041,66,12.0,64,13
1042,74,13.0,67,10
1043,54,12.0,69,35
1044,52,9.0,65,4
1045,49,7.0,54,3
1046,80,9.0,17,0
1047,72,8.0,30,3
1048,60,11.0,64,18
1049,54,10.0,73,10
1050,47,12.0,62,3
1051,69,16.0,86,10
1052,72,0.0,0,10
1053,50,9.0,64,26
1054,56,11.0,74,19
1055,61,9.0,64,20
1056,54,16.0,66,8
1057,82,7.0,79,7
1058,59,17.0,68,8
1059,58,12.0,61,12
1060,68,11.0,79,27
1061,51,7.0,46,7
1062,65,8.0,34,1
1063,74,8.0,68,4
1064,53,8.0,53,13
1065,48,11.0,52,3
1066,50,14.0,58,3
1067,60,8.0,44,13
1068,55,13.0,54,14
1069,66,9.0,76,14
1070,66,8.0,77,14
1071,60,9.0,76,12
1072,67,6.0,86,21
1073,72,0.0,0,4
1074,64,9.0,79,7
1075,50,7.0,76,7
1076,57,9.0,57,13
1077,61,10.0,73,13
1078,51,8.0,84,3
1079,59,7.0,85,13
1080,49,9.0,62,24
1081,68,8.0,72,2
1082,53,14.0,54,15
1083,50,10.0,55,13
1084,46,22.0,52,16
1085,72,0.0,0,4
1086,51,15.0,49,7
1087,46,14.0,64,17
1088,45,4.0,60,8
1089,49,16.0,76,19
1090,46,9.0,63,10
1091,52,10.0,69,41
1092,43,5.0,51,14
1093,57,9.0,78,0
1094,58,6.0,80,14
1095,64,12.0,78,11
1096,54,10.0,87,13
1097,59,11.0,76,18
1098,59,11.0,76,4
1099,59,9.0,70,6
1100,61,6.0,71,24
1101,77,6.0,75,28
1102,55,8.0,71,17
1103,52,4.0,93,20
1104,63,10.0,67,0
1105,62,10.0,83,18
1106,56,13.0,68,5
1107,51,11.0,79,10
1108,47,8.0,70,13
1109,62,7.0,75,9
1110,56,10.0,72,4
1111,44,5.0,73,44
1112,48,6.0,83,17
1113,58,8.0,70,35
1114,48,8.0,87,35
1115,36,7.0,82,16
1116,53,11.0,80,12
1117,40,4.0,66,0
1118,57,2.0,72,13
1119,58,8.0,74,16
1120,55,10.0,81,11
1121,52,12.0,64,3
1122,65,10.0,79,2
1123,39,7.0,70,29
1124,61,9.0,69,3
1125,56,11.0,67,15
1126,53,11.0,72,7
1127,46,7.0,74,4
1128,49,10.0,82,31
1129,42,6.0,70,21
1130,45,4.0,80,9
1131,62,11.0,61,0
1132,60,5.0,76,3
1133,50,14.0,83,3
1134,35,15.0,74,4
1135,72,0.0,0,10
1136,42,14.0,89,17
1137,68,10.0,18,11
1138,25,9.0,61,4
1139,50,15.0,84,2
1140,53,14.0,97,0
1141,44,17.0,97,2
1142,77,12.0,82,11
1143,54,10.0,91,0
1144,29,14.0,61,1
1145,28,12.0,66,5
